BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8
406.53397310029396,570.7821773620688,607.3937516503363,480.2004863179425,348.76642977821325,497.7232737550419,430.207291027456,385.8283472066506
405.6452671698275,571.6498416171148,606.5215000604851,478.4152944220167,349.35562085503994,496.2817357078979,427.15578434481586,384.6726213796145
405.07693147703424,571.1897760592125,605.7872079240815,477.2771922802399,350.5128045252375,497.68117638455305,428.6502522522796,383.59717940080407
406.07279535623934,570.3075998740981,604.6716215243835,478.8813465665425,348.8107054606159,496.7469894762736,427.11766192790435,386.2759542436636
407.5911062252683,567.9821269383685,605.3377442505232,477.36111962737925,350.4306089092592,493.7731389507892,425.18088418732697,383.57269572692934
410.13730630008615,567.7630299138036,602.9614136600408,479.1299434402449,350.41612884925235,493.5717455832515,424.86442154594084,383.11494672061235
412.0771536682237,563.2181927017195,600.8627522031045,480.0610575485466,353.40146286536446,492.3578166307567,424.2391398756111,380.5701801277885
414.05681246897126,561.2802337439502,597.5238544129818,482.7883503673419,356.5595595052084,488.20792689517924,419.32041414661865,375.3397076533863
419.55549614259496,558.9507480681689,593.113076759953,484.4617605665408,361.0171271242591,483.73959159557404,417.47618970007596,374.49662329962223
423.50581002455345,554.8705245838921,586.2199137793682,486.54580782211775,365.2925627198459,479.74236036041407,413.71042109062165,367.2502889309998
428.41361398124866,548.536092155645,585.107524574654,487.5297923735002,369.2458123545117,474.3374892154459,410.36084792468563,365.20401849725386
433.7456576765138,543.0772055705238,577.993916555861,491.70404825374396,374.7618137425235,468.79494596102325,404.574353289309,358.82882571463614
440.6974403575705,536.8006362862563,571.7136257130041,493.5379671727675,379.9558173000791,462.54149297892866,399.93755850860146,354.8673885451735
446.82630138442516,530.5416265811837,566.990275979097,497.3668990770399,388.0193232295319,456.3288311834549,393.57424280627197,351.1664694594387
454.36424574629564,526.166815506588,558.1802608927155,501.5388314824248,394.8463881860769,448.5648254523087,392.0626465149164,348.1623674742635
462.4479978167125,515.8097652892233,552.4668916431262,503.96614149268987,402.655034647705,444.7067435295944,385.2398620308978,343.48413144409915
469.743383586715,509.2905503873156,542.212112341588,510.23912829519804,408.84364091638633,435.8139016292842,381.1799255834888,343.5850729277887
477.14867955545105,502.3656462770436,537.014190856265,514.085370454565,418.28516075587993,429.25558404873385,376.7576299124471,341.62925492541075
486.73413991673976,496.22758485029,527.1872587484028,519.4716560057084,426.9967922065264,420.6948697857676,375.4503678738603,342.83232056496496
494.10681976487876,488.16180219383216,520.6118111264573,525.4858689605117,436.54308141424065,413.05955945174674,371.3428009228509,345.46425216377463
502.4153589123125,481.5865186036583,513.7444604445764,531.2924855775257,444.1545476419904,405.6492734438166,371.96441826986734,350.6407893250353
511.37007144204927,472.77252930119437,503.8084241624959,537.0496748402004,451.26827771861736,398.1875028047773,370.763068262607,354.20553756965023
520.056044534979,468.21047129491916,496.99885962045573,546.7159805749906,460.3381367084899,390.192449097789,370.04749767492603,359.531387103641
527.9904789364505,461.019242262518,490.60603394376903,550.0151991090635,466.9871875989197,383.1988994815098,372.214966941485,365.94116262379305
536.1953274278657,452.95936263768493,483.68612654765104,556.4972874129037,474.69535689221755,379.24530163369445,375.147141400308,369.9832337960199
543.6505230231953,448.8244628611743,478.66634183792013,563.2587829257682,481.54483874587277,373.5068583116725,378.96974617498506,377.3637245401818
550.5015982600305,446.15441097259156,473.29398687445445,569.6137513662059,490.69616976477937,371.92910452972654,382.53687675515897,382.6597928496066
555.3194718337162,436.2451321064108,468.3116829268745,574.7610403654674,498.3449128368252,367.55224820695827,388.4437600390709,384.8372678321618
560.9730132785735,432.43309793277535,465.6918800944321,579.154977236517,500.8425021091617,369.1123226768582,391.6460882260659,390.77756954886826
565.6272971456792,426.8814904267383,465.43524672668764,585.1041572816233,503.7937269634855,368.1511530197075,395.3060999963296,394.7358187746627
567.3953037226518,424.6426377242632,461.8965354467588,587.9244154845628,507.2955553642124,367.09019364009555,397.6460675350796,395.3634214622124
572.4002801648928,422.8161725121561,458.13085761231446,590.1667386063604,513.0918054840702,367.6975061477729,398.33488788689374,397.6783156554367
575.2179464171996,419.7640462890076,457.2445619055995,592.5229584386395,513.3078454080442,365.3578026519103,398.4389871575331,400.3442836232542
577.3527526535191,418.0274792975028,454.80385920593756,592.3201840938071,517.2740223386373,363.12345070580767,404.240339048477,403.8424423157281
582.2928730961532,419.4155733962001,447.8097566505174,595.2518035687053,521.1383516069934,358.78121300840326,402.9406754302373,409.1258067173532
584.2409269678661,421.09459842471233,445.2949883851561,593.4971085263765,525.6974317673798,352.6949238190062,401.7372947629433,414.1649862871833
587.778215794857,421.78975644283065,438.44516359052193,594.2706992162925,525.956341959337,350.7028112188955,401.47229724767783,417.5173235524659
591.6415640648322,424.7322341808556,433.97866679500345,595.2109256306974,528.5905669533138,344.2055198092898,401.0664708864289,423.4052826404286
594.1697338309734,426.5994149861841,428.9687512063224,594.1172869272743,533.0855969391688,339.8572737619873,399.84141849136654,428.63830940829394
598.7227873082405,429.1134878000354,423.58726403708465,595.3722478495934,536.6512560025078,335.76096724096055,400.85658462781623,432.2531992703744
602.207807319695,430.47375303176193,415.81967437028527,598.7429626457183,538.9409926185274,331.68642503475695,403.01751845863845,438.37621176821716
607.2901685673319,431.93845365411005,410.8447191096012,597.5655804477473,544.3762653141943,330.0931949974988,404.850956181936,442.83821680942583
610.5335841384052,433.14616432571427,405.9492641887306,599.868495471063,547.980652501393,330.05219792072495,406.4783126901807,448.06531210163496
614.6892211980517,437.2519430266901,399.32224736339236,599.7592049224071,551.66792881013,328.7086164470821,407.9033461369337,455.1507659125707
618.504196838521,442.02757900532686,397.03192851008987,599.170338192007,554.6099748890583,327.5753805379346,407.83077219933534,457.1856767932394
619.1591129496018,449.9657406671507,394.8324270608939,597.9352743655791,556.0709211065247,326.5181299801664,406.24885010342643,461.3170955990561
618.992574914116,454.2504099723625,394.06893041352396,594.6617048017122,556.8737965565515,327.8995270016939,406.190472389379,463.3181393136977
619.0390292696293,461.3132452564372,396.2789249625063,589.2549892281215,553.6820468084386,327.0075776437656,399.3024469034013,465.40449388045124
615.8411923148965,467.03626504527415,396.35499750670033,587.5905941616857,553.7788916080001,328.22364989323825,397.53548627446065,467.3209150976247
612.1031872097003,473.29486187982513,400.94739816304735,580.2950729339,547.861135743106,330.8965366457772,394.27172706093813,467.0498136316664
606.999162940865,473.3595357422573,404.45546061915667,575.5553859962574,544.2623223494613,329.7617847510813,388.1982468492713,462.36183669544016
603.7557992402532,475.15536447126044,410.2784948748299,570.4153700504735,538.2280337054661,329.5205723701395,384.9303982703007,457.3720078139446
600.3955019863402,472.84779451248505,414.85765773959815,569.1690603856397,537.0829758563935,328.0503554549121,380.5062887047641,453.6935607693257
596.3795608681723,470.6348064001005,415.78427784703194,569.8784501403441,533.0684608411683,322.5983591366536,378.03601120216854,445.91916760187337
593.5508887510466,465.1235616771048,419.8107433960199,570.8402331622046,531.8668022281363,321.09152518507534,377.6459803249452,443.71491325797905
593.6147404990119,459.03912940056375,417.4825296832455,573.7588350982035,528.5343312798212,322.5068482573056,381.6102622930679,439.59174836590194
592.7078361033723,452.20034601070245,420.63206156870075,578.5869631048348,529.0835593843593,323.2669994722171,383.58067528386516,436.9125274128154
593.1147463747855,446.0595014328246,421.1629874961426,580.1736576657302,532.3132256736712,325.09095712414836,386.52638884391797,435.170051360623
593.1837618611917,441.05209505423966,423.6341102767882,585.7212690677435,530.1918936098282,327.83000889056535,390.1739621661075,430.2279957075308
591.4644061691741,437.3958035244222,426.58923698395137,587.7532355962917,531.295510884527,332.677237090668,396.40401176830784,431.13462427085796
591.5581782383481,430.7112467706887,426.2792753933205,590.1997944995899,528.9891321435483,335.1875838323253,394.69905132200245,425.7695378392583
590.459028411944,430.0677865014509,431.9887691066694,591.5171499365568,527.1895525513203,339.70495191932395,397.1562779315944,423.1930500987679
583.2172804699246,428.717412210114,436.1000758141421,586.6202412747868,523.7330017392587,345.95654468607773,392.6630709583023,418.0488641117549
578.0683833513906,429.7447175715148,441.8285502309999,583.7593870283641,517.4785518310548,346.5860140061052,391.6228727196763,411.67822911230917
572.4896408149937,431.2609566319604,447.6462446512055,581.6269781282416,512.1024297999733,350.31324996380044,388.63032668278896,406.35221597480063
565.3389635442348,435.2754265431479,453.67597461585353,577.99844578898,505.2863967821228,354.00043904403395,384.6468617575485,399.8279650732209
561.5694598992989,436.8885186219412,460.91876579990264,572.1785616885261,500.4326641828577,359.12035310750963,383.43658490765404,394.187012599038
554.3535761501164,440.81006072979676,466.8012913640763,569.0381265952115,495.35012996282046,363.38854696880094,382.0122870726608,389.8020550697716
547.0507293486387,444.6133910435879,471.8459499611514,565.2272904182697,489.25344347757317,368.1652915753771,379.14218972639054,383.14927526470143
545.6255032581334,450.00459100022294,476.25008656415037,560.8919464731537,483.32039695116055,371.9251373059724,376.99153299121156,378.794627169512
541.0193094708844,455.9276109270012,479.821299732951,557.1635256379632,481.1578763978568,374.0931060544762,371.86154989114374,375.8935033285714
536.6940569784297,457.22468988041953,480.16960697888805,555.7099664046711,477.86986006349434,374.69902895331944,371.553301222943,374.3971445204013
538.0645349827714,460.881574440041,477.8917869202929,552.3387556875585,476.8473095397696,373.1494230778487,367.990997819618,380.0728088548722
538.4779796470203,462.6065801730415,477.69468490093806,548.4702268424554,477.5200303621915,371.0791774919918,364.68446050362274,379.60111233161706
538.4961067634376,464.84613935519286,478.276306762359,546.4714624834726,475.8947704713165,369.68556588792984,361.24061108565127,381.9967804512207
537.4842050809484,466.5353893066055,478.97543451145935,545.7266383321075,475.10375131192313,373.0701931009505,358.3793785611645,380.9090931755065
532.3788448810338,472.36742113831696,481.0586031600558,541.1409135490452,472.26875279277533,372.0622992939465,359.21498059062844,381.607798033337
530.4526933260106,475.330319808734,484.6170669060341,537.8671464004135,467.316630844408,377.1451910225362,356.79484382986857,380.9129934132892
526.8099373301975,477.87318885013667,487.70078761642094,533.3340691437346,463.0122966815084,382.1104678002315,351.6817127467499,378.0111521435211
519.3841066512701,482.5834196929575,493.40500179819423,527.4774172331444,458.09602744207086,386.6257049581785,351.42503131919597,371.98952388614396
512.5105229582429,489.64144612398195,500.3049578572268,522.5385524380538,450.3238313797593,392.26535794186276,349.766328324056,369.70559033783013
505.8416378221549,494.3963411218882,509.2358657054549,520.1117589680471,443.51295267212413,398.12977467922474,355.9051237669278,367.0118420903899
498.88452253782305,499.3501734684498,514.2465835129192,513.4351204417025,435.9869816042403,405.2630253510197,354.7449586981617,363.9533367836729
491.16631710885133,505.59388767567464,520.8808143853582,510.0581130750044,426.90523221341937,413.9323985341863,358.71502171020177,360.95353595385285
484.32241387002955,510.9203243213221,526.4676327681999,502.65787963821174,421.2233374816568,421.29736897434555,361.5489967208769,363.30212851271483
478.57156542577843,515.7321036581174,533.7245210279863,499.1764171814551,414.29029824479005,426.6184706295603,363.9053641585546,361.5074668464862
472.5236024636016,522.818868242111,540.1159760567784,495.84517951852536,408.3933211085464,432.74824457857903,368.74884200499,362.3806261336936
466.3770597886469,525.8913499432582,546.7857445625873,490.6837044534029,403.19536103806,438.5744491870138,371.11694737419384,362.2765290088368
459.9661970499827,531.9643297781058,549.3647614412662,489.8836679529678,397.12643116727617,444.01213930189465,375.6066965676633,364.9659398402679
457.2731700728592,534.5912943680098,554.6637393950917,488.0352137346948,395.7428689131975,446.48284699102163,378.65783422473874,365.3771982057651
455.4302447161332,533.5653161078191,556.5637377683354,488.47086093467834,393.40035684634097,449.2676200726321,382.70857073969944,364.6196573804705
453.39921670420995,533.8968449388361,559.9615760335279,489.08073733765093,392.8615813578618,449.5030360797633,386.6637332187122,362.4535261931641
453.880746721375,534.4194557066348,562.5234868844087,493.83279966786847,390.73969647548523,450.9474841186178,387.3781153414975,359.4964213630207
453.93737741599193,531.8205808192085,562.0039135498633,494.27554844032954,392.14890882860004,451.74317372798646,389.06054526239006,356.22412906080694
451.97163656123456,533.3461851212367,562.0184817826457,499.15053176188496,393.09914603792834,454.46967858236803,390.9473643660943,357.13937266039386
451.3540386241187,532.7670199834286,567.2006084556083,497.473503384786,393.05766658486186,455.2429586753248,393.8893062331403,357.53529134372246
449.205016654482,535.988348124217,567.9976816504133,497.1827739020261,390.74505110499194,459.5535751520398,397.18735121272516,354.4651737002971
