E,N,U,t
100.50168903698575,30.61846384788177,0.0,1.0081062894700622e-06
100.63419021116604,32.426561012703324,0.0,1.0063885893334763e-06
100.64661466628486,31.72139115928923,0.0,1.0058914640812124e-06
100.78119656244974,32.77624654813206,0.0,1.0064286998973794e-06
102.2550917214968,33.45423812585636,0.0,1.0049028148416856e-06
103.41196600033204,33.744796416016726,0.0,1.0063267505379655e-06
105.9921477417347,32.71808806187844,0.0,1.0054079934843743e-06
109.61195593106876,32.76715763045953,0.0,1.003308251639334e-06
113.36097352946199,35.334531793096005,0.0,1.0070250458149854e-06
118.38394743435943,35.20566969904211,0.0,1.0040129028234963e-06
122.42276739919619,36.417614846401236,0.0,1.0041683471350646e-06
128.70525792902063,37.08867941943351,0.0,1.0024410882671833e-06
134.5642547387226,39.29881619210001,0.0,1.001958940194096e-06
141.10013362320365,41.4040270983071,0.0,1.003174493599968e-06
147.86405293369884,43.33818961622494,0.0,1.0048852862498217e-06
155.28960523068218,44.56939885215377,0.0,1.0033294820025398e-06
163.04070519726397,47.456847035507586,0.0,1.003243732987239e-06
170.48471056102227,48.94276336473706,0.0,1.0036996016246414e-06
179.15924115445404,51.09713006655678,0.0,1.0048781271295804e-06
187.4743142543363,53.10888108168299,0.0,1.0047245602062509e-06
195.34153033969304,54.78674766887857,0.0,1.0064769203691305e-06
204.29527173948085,56.14390839215708,0.0,1.0029944510230891e-06
212.5117233517605,58.3176521509471,0.0,1.0052619064723187e-06
219.79473730746227,60.22218623657802,0.0,1.004280073627946e-06
227.7872912657367,59.914421184466086,0.0,1.0029105150896202e-06
234.5303440253226,61.78838623843056,0.0,1.0058081729305866e-06
240.4259526584382,63.01257135023053,0.0,1.010373636562843e-06
248.3254241566322,60.75914793384514,0.0,1.0044179124667641e-06
252.4434507139458,60.434811637393935,0.0,1.00706458865863e-06
257.0754399448464,58.81721805466602,0.0,1.0071684675352517e-06
260.0931826488194,58.641977869364155,0.0,1.0054574489373995e-06
263.4421861531084,59.759146711312916,0.0,1.006888515323707e-06
265.7883868886832,60.26611882620065,0.0,1.0051952455708938e-06
268.86078261946255,61.124683326274834,0.0,1.0056236030794228e-06
272.04605033245406,66.60313340586778,0.0,1.0070080087627255e-06
273.2429278063064,72.01879867595247,0.0,1.0086999618491892e-06
275.56088411595493,75.46553823062789,0.0,1.0068685723505179e-06
277.36140882469164,81.59456888212324,0.0,1.008592530788349e-06
279.15577216963516,86.93219686029497,0.0,1.0085559103789616e-06
281.5588838071425,91.69519141186974,0.0,1.0090117302822284e-06
285.44038260073427,96.74512777204615,0.0,1.0067474219164492e-06
288.31795489751045,101.2724746223476,0.0,1.0067677418533834e-06
291.3908489338392,104.92219249686853,0.0,1.0066263526987932e-06
294.01428789601454,112.25669138338411,0.0,1.0057781076335282e-06
294.0855986517084,117.36716819403183,0.0,1.0076421269837598e-06
292.22985123305693,125.39652264093814,0.0,1.009478482488714e-06
290.5808008285979,130.8574292227309,0.0,1.009441922206583e-06
284.57891650690897,138.34471962001896,0.0,1.008701330596726e-06
281.7382156234839,142.45739784940477,0.0,1.008490911340992e-06
275.14019943638414,146.46861401560855,0.0,1.0084677393751726e-06
270.8440196261098,145.34993560955857,0.0,1.0059010302530586e-06
265.7101471069693,143.0469040816149,0.0,1.0080980017904823e-06
263.24109674381384,138.7405372337114,0.0,1.0107716887673508e-06
262.34732595500213,132.47671920827057,0.0,1.0090498857775822e-06
262.0312152584163,125.42862715318306,0.0,1.0127890440525075e-06
264.56105755115277,116.55631082909366,0.0,1.0133252190829307e-06
267.8432410490607,109.13970400950723,0.0,1.0124327428089542e-06
270.9948571059543,105.05065066443413,0.0,1.0103137396257683e-06
273.01549446575336,99.2856903958563,0.0,1.0087742133180682e-06
274.5421852655073,94.90359467681941,0.0,1.0117332660301715e-06
276.2197697173501,90.23967356124272,0.0,1.0041018126337353e-06
274.80307973380445,86.03393491114483,0.0,1.0083788340777814e-06
270.7359708336058,81.71703136365933,0.0,1.005664974540212e-06
266.55110912692487,78.7461503400158,0.0,1.003875322339473e-06
261.9965154697349,75.5446373913173,0.0,1.0037239611394701e-06
255.82414076730421,73.13918300539905,0.0,1.003558690594684e-06
250.85606093489957,69.87011040287152,0.0,1.0042719879450236e-06
245.54457141606488,67.54155961976785,0.0,1.0054121734178961e-06
239.80981458532457,64.98744876080708,0.0,1.0039870668665851e-06
234.71326498254422,64.7126336113744,0.0,1.0062466264092848e-06
229.73524811813618,66.29032849445403,0.0,1.0079881738042333e-06
227.8527885141353,65.66830503013762,0.0,1.0055258574797563e-06
226.58949601059047,71.1055158000109,0.0,1.0080444601740376e-06
225.49224006125723,73.73151920513335,0.0,1.0066570319538333e-06
224.01735700300372,76.71218209026881,0.0,1.007073944176573e-06
222.14400868258724,77.00310876573012,0.0,1.0080326580336776e-06
218.68243898363494,78.52812644629782,0.0,1.0087271840410435e-06
214.56985663872777,78.56243654595399,0.0,1.0102889923855954e-06
209.94676767914694,78.89130735661695,0.0,1.0084572731314242e-06
204.06108475964734,76.69657308530162,0.0,1.0064658875560765e-06
196.78719486212404,76.31700030297442,0.0,1.0069488331012916e-06
190.8456905752742,72.25593047511069,0.0,1.010248290403104e-06
183.78936959755998,71.58826582347982,0.0,1.0072628082527075e-06
176.44089692366583,68.43619930217672,0.0,1.007337423890747e-06
169.21534204045537,68.79346584957104,0.0,1.0077697846824201e-06
163.39262415740313,66.70846956633261,0.0,1.0066346280684634e-06
157.11094012265386,65.1866082577731,0.0,1.0083899738622286e-06
151.58516599866377,63.66576301887232,0.0,1.0063312547770626e-06
146.4441594084862,62.312508192240095,0.0,1.0069066979647918e-06
143.6935267648167,61.03330013643883,0.0,1.0084865120616089e-06
142.4843213222556,58.0601177694867,0.0,1.0083906809275593e-06
141.72535639757362,54.96906261650817,0.0,1.0085888404784425e-06
142.0908242211133,51.59325521495989,0.0,1.009783879147476e-06
143.21127975421138,49.24369703250546,0.0,1.0085499493573e-06
143.1447440374843,47.32786936203919,0.0,1.0121832718893065e-06
141.90854923475553,45.901526756583024,0.0,1.013476902303623e-06
140.11631645477615,42.83795863991444,0.0,1.0124334663526311e-06
137.46268633418586,41.91361654591532,0.0,1.0124852377719288e-06
133.08750707777781,41.00860686393267,0.0,1.0141500247418488e-06
128.32599287781298,38.90442850853978,0.0,1.0125184189329203e-06
122.18544963132575,37.97038904878079,0.0,1.0119894749211656e-06
116.56745776055763,35.91515723878093,0.0,1.0134608267952004e-06
109.34350603996063,33.329890133993665,0.0,1.0145222600109738e-06
103.14353895462479,33.2639800420639,0.0,1.0139104547612302e-06
98.03480504718158,30.27126369367856,0.0,1.014643586581637e-06
91.52145570964511,30.64497618132343,0.0,1.0179173641238078e-06
85.80417224447929,27.875491623301684,0.0,1.0156073487473503e-06
80.69592426040651,29.00495533432411,0.0,1.018748980503661e-06
76.37560684481453,30.06603790228303,0.0,1.0194629755746473e-06
72.69442905132806,33.74181969903658,0.0,1.0194395878712071e-06
70.42222234611175,40.04972363121777,0.0,1.0241715075310617e-06
65.47989565339911,45.10978664861308,0.0,1.0234284155326707e-06
60.16943057619159,48.93240973070061,0.0,1.020472300711883e-06
55.53499315389237,49.5504140665792,0.0,1.021983367082406e-06
49.65825902439365,49.21179826917557,0.0,1.02076450392898e-06
45.22694377948512,47.33776456426171,0.0,1.0206557581951276e-06
42.47263507142058,41.17380925678981,0.0,1.022016348682064e-06
38.189107843066424,35.00745958492878,0.0,1.0180839701695113e-06
40.02941640243304,29.90571256960862,0.0,1.0220033628934743e-06
42.21425504447207,20.593113622890268,0.0,1.0189302903576335e-06
47.39611728521925,17.58882788505961,0.0,1.0220262691550204e-06
54.34698636289907,13.708573275450794,0.0,1.0159071685959843e-06
60.56598969984747,14.36057095817843,0.0,1.0165688667730563e-06
65.66612248916712,17.25433795528311,0.0,1.0172384444543977e-06
69.7567759629159,23.618438786956556,0.0,1.0202082051941984e-06
71.14718475804409,31.420424604683703,0.0,1.0242786833742271e-06
70.95445729314442,36.87767417834114,0.0,1.025179085230296e-06
67.01880538768663,43.38204767339832,0.0,1.0222310228458744e-06
63.135438594553335,47.289525346044634,0.0,1.02308259904403e-06
56.50758843992552,48.478313243213954,0.0,1.022884717171984e-06
50.1532980122989,48.25262413252259,0.0,1.0237998156416972e-06
44.46186975758824,45.882468893565786,0.0,1.0232172517973204e-06
39.9662824408976,40.05611557087725,0.0,1.0198387638387696e-06
39.4621226687051,31.78676637193018,0.0,1.019583592887925e-06
41.021244960741974,25.210696066734744,0.0,1.018914969573192e-06
45.97125181915519,17.301058752744435,0.0,1.0181288458100623e-06
51.01191073211207,14.98604339857745,0.0,1.0162702079713144e-06
57.66234826743216,13.993858500512285,0.0,1.0148711370728857e-06
62.93853673002893,18.064334871785924,0.0,1.0175015661613638e-06
69.27722914229314,20.30743686684197,0.0,1.0195222233266836e-06
75.1098726721086,24.033840389175005,0.0,1.019356432106098e-06
81.04176889034538,25.41882114831238,0.0,1.01790164726288e-06
87.6920976295198,26.768631617935117,0.0,1.0166829838580903e-06
95.30571907769374,29.702231669660463,0.0,1.0147083348267115e-06
102.19561681251007,28.85953619654788,0.0,1.014972486149807e-06
109.94533660426418,33.512936486105176,0.0,1.015257607641574e-06
120.3264009485568,35.92811329792786,0.0,1.0151915953892148e-06
129.63647101066684,37.059255047308696,0.0,1.0115260153298511e-06
140.25197631032972,40.663056608525025,0.0,1.012003963906988e-06
150.56715548678937,44.16309106271967,0.0,1.0143688839459497e-06
161.94877411737752,46.29936993465562,0.0,1.0131474524438574e-06
171.789204122571,50.17721256970991,0.0,1.0132313298322873e-06
183.86670737728008,51.45021545750397,0.0,1.0127863398639122e-06
194.3355762733259,53.69269433365222,0.0,1.0118997383717084e-06
205.00019613812327,57.56912864580502,0.0,1.0141563369183791e-06
214.70602066053453,58.82797990791218,0.0,1.0092932961677426e-06
224.54543403065495,58.95667910803686,0.0,1.0087677447214784e-06
233.4411661060928,61.73569561281877,0.0,1.0113736515793928e-06
241.43955212095162,60.96228958795718,0.0,1.009673946919197e-06
248.0596514257907,60.41997196908324,0.0,1.0115415545708775e-06
253.4976305765174,60.66444193211175,0.0,1.0100406340010477e-06
258.9081662844084,57.82978364591502,0.0,1.0080494137709708e-06
261.7171198556897,59.03899674369732,0.0,1.0102681735057299e-06
265.7536704479019,60.790993009043014,0.0,1.0109826858959903e-06
268.0303243403629,64.21064707511226,0.0,1.0116094604381536e-06
271.17272301203514,68.41460314488317,0.0,1.010693508233411e-06
272.85758161637443,71.25768004861413,0.0,1.0133233326225923e-06
275.9042068765001,77.48927031355367,0.0,1.0111221878699933e-06
278.6517659245886,82.22008607077281,0.0,1.0067833337723825e-06
279.2322575791273,88.45008320170876,0.0,1.011514474591319e-06
282.41381105004126,92.85390446772199,0.0,1.012856104955395e-06
286.59229596711356,97.18976050356812,0.0,1.010775703138897e-06
290.1040376635313,102.44975957161776,0.0,1.0126576163856025e-06
292.4162253806736,107.35073187766078,0.0,1.0142528339411322e-06
294.33093231008127,114.29053647374201,0.0,1.0127173616609e-06
292.9927003567077,121.52878165113593,0.0,1.0152553163325372e-06
291.43551923810855,128.3502212117843,0.0,1.0149877100499992e-06
287.5655377901528,135.42958814915642,0.0,1.013855124987764e-06
283.49268883245907,140.34028648685316,0.0,1.0115822743924408e-06
279.24894962350714,145.35479114494066,0.0,1.0094746903188811e-06
272.97872862099615,146.37362077774026,0.0,1.0084817203581553e-06
268.1927937026292,143.5897351847569,0.0,1.0111086369117864e-06
264.18852454164744,138.56412955885986,0.0,1.0121601017239049e-06
261.590495044965,132.85617158844923,0.0,1.0138056256524842e-06
262.09020815917364,127.46225957865983,0.0,1.0119065986976523e-06
263.5549404462032,116.27595057879184,0.0,1.0154619083648943e-06
267.75761330392504,110.4269242917493,0.0,1.0153247184422502e-06
270.5154743139492,105.3553185776633,0.0,1.0134107503906767e-06
273.39354983468104,98.20835530308409,0.0,1.0102050446412583e-06
276.01751556954383,92.78418992523314,0.0,1.0084394514514919e-06
275.3345175543233,87.41727346943749,0.0,1.0101113909521064e-06
272.44976743710043,82.2085093163263,0.0,1.0054199285014533e-06
268.39719802519323,78.73255472816537,0.0,1.0060853488793866e-06
263.0425872758105,75.93073942332967,0.0,1.006578520158326e-06
258.25547985263654,72.39235496736676,0.0,1.0046410225665636e-06
253.12320073936118,70.18230897882621,0.0,1.0046007474465894e-06
246.2692525487047,67.62009332002783,0.0,1.0053109954423116e-06
240.00657502540002,66.56491599800529,0.0,1.0072980253158658e-06
234.9955273893442,64.63082774676424,0.0,1.0053227989071183e-06
231.184422973071,65.20327251091884,0.0,1.0062893534323508e-06
227.64894730213723,67.95501130701167,0.0,1.0063991180408448e-06
226.1629913712968,71.00807787838802,0.0,1.0074663595739147e-06
226.17100642491872,72.14672496475254,0.0,1.00461540379077e-06
224.44169613227933,75.5633212175466,0.0,1.006921381920949e-06
221.51989908439705,77.09913353160893,0.0,1.0059002547347054e-06
217.640333326936,79.38553267304748,0.0,1.0065762409648379e-06
213.17809227949675,78.85037691261381,0.0,1.0081070341240129e-06
208.31547967806213,78.03562482096636,0.0,1.0066101772138214e-06
202.38222147267157,76.03599426576064,0.0,1.0071620665588735e-06
195.02974241286987,73.25323127928269,0.0,1.0077343521762462e-06
187.58383511841353,72.54750902100353,0.0,1.0058613150771108e-06
180.18843978107702,71.61796948377143,0.0,1.0063901750205162e-06
171.97232459675092,68.91669584098301,0.0,1.0055541562289694e-06
165.0459384311921,66.50876312979237,0.0,1.0054376466963959e-06
156.79846978262788,65.28982271697996,0.0,1.003038662322219e-06
150.7994539917817,64.25711631915848,0.0,1.0039719604123636e-06
146.35128074367827,62.418988126825596,0.0,1.0037853479094008e-06
143.41524236115757,60.038115145111824,0.0,1.0037602308071385e-06
141.45347481579958,58.084610931825054,0.0,1.0038083638692142e-06
141.76137268674665,53.175609562279085,0.0,1.0043116379990925e-06
