E,N,VN,VE
99.73919845283474,30.590041580364883,0.0,0.0
99.73919845283474,30.590041580364883,0.0,0.0
99.72580302900263,30.630553852261762,-0.0021528359730167423,0.006510900840570599
99.73219223019379,30.642453776811408,0.0008745351138816915,0.008420816970633016
99.92280212705975,30.824389757547458,0.08777867239612291,0.0878956469294474
100.45856104248617,31.139476424878666,0.297137332647349,0.19407088209312295
101.4543164765107,31.507473097454593,0.6101850196758303,0.2720062609759637
103.07432465063452,31.828738269802294,1.0449639510502973,0.2932146644004048
105.4527769259306,32.24930501838541,1.6057499198057492,0.3467713852227048
108.54532279070304,32.86386876757228,2.224878424918357,0.4582849298641136
112.37473313450573,33.614860371964625,2.8914954351814224,0.5798925127121555
116.83872324824893,34.521798790168724,3.5451859374835646,0.7158464241316977
121.96610033489696,35.592343832880466,4.203618949951075,0.8634551881379036
127.65483182268284,36.85145826056556,4.822116733339554,1.0282335173235717
133.85792262369492,38.28099841825784,5.397443794237191,1.1954217182657931
140.520115048488,39.85382964817124,5.924399379730906,1.3526688149428265
147.5860434112422,41.53791972899044,6.400009144731419,1.490753079752439
155.01710088291824,43.34109565218407,6.829571960213865,1.6209169457346793
162.73703885732527,45.25389864498166,7.200512112740398,1.7425211546689043
170.74881187166608,47.263325457792256,7.538490887509656,1.8537165138187852
178.94712647400377,49.34767711832256,7.813378120966277,1.9498007496421579
187.2352770177111,51.433241959743086,8.011171563643668,2.0063610000243877
195.5729492565678,53.49188686149789,8.147194094765581,2.028142849772969
203.86867892377754,55.545744174089165,8.209075135391682,2.0388556890757297
212.00868620025784,57.54103539237865,8.180300930035074,2.0207063928848017
219.9342771418172,59.32744899155991,8.074186754710098,1.9230981807482337
227.55455637316027,60.84332507510683,7.885085321346057,1.7534462619894136
234.80364017027856,61.810538703638045,7.620122106280277,1.4258955904660056
241.7141748443758,62.023971461252955,7.324502434723158,0.920774095684239
248.03298898558484,61.74372594786202,6.905524837596111,0.42041994703002494
253.5149743185683,61.159068732832765,6.312467167750228,0.0016969556309280875
257.9250590133849,60.55531296395921,5.519919781256089,-0.25053937501177614
261.5039842902316,60.166292249025446,4.711286320874855,-0.30823178209739943
264.6109438382599,60.213065381424485,4.042911264686829,-0.1603339637168073
267.5020243590521,61.06936305482947,3.5630495858428333,0.2632027119111022
270.1518390055602,63.138489839814994,3.1825887814925977,1.0155647776220516
272.4352572492881,66.40721459811525,2.807987316588232,1.9542488136050231
274.49572914505853,70.65624954730816,2.496566557215644,2.9102746306518448
276.40463542098234,75.66427411063688,2.2517426967956595,3.7842136274898195
278.2964438191448,81.11142118669929,2.101791258367278,4.477004682888223
280.3188545251871,86.6444789084475,2.068720700630962,4.916964622335911
282.6793947659416,92.12502038787134,2.1902949989639424,5.151755140229831
285.3932836260038,97.44827267960446,2.4084282886246626,5.223202192237631
288.3001603347954,102.5965425057775,2.6160857913104536,5.191984783619711
290.92629760256614,107.90687621429042,2.620273314864747,5.241289869551476
292.6806704559651,113.44649697082745,2.2595324234754344,5.365576845814278
293.13558566241954,119.2729532710115,1.507714804181397,5.557582824089165
292.35891284834906,125.17335162121893,0.5560210906890433,5.700402448257844
290.3846146073526,130.9812599511746,-0.4981296943410527,5.745190237754596
287.4401144654534,136.25401442846936,-1.5173067189460596,5.548369812155093
283.47046891188404,140.46439874756058,-2.538970220191132,4.990954611547744
278.80236448832613,142.94570446541846,-3.425984149147837,3.9454152923382964
273.90371195593855,143.4117770962516,-4.039509293125221,2.495893980112843
269.50085902031253,141.77137612476193,-4.190881090819516,0.7726812157211285
266.2332911801717,138.31485955887962,-3.8062215832848523,-0.989235592840302
264.431434434076,133.58168181732398,-2.9711875462164485,-2.5489911168777937
264.1809492626649,128.05082062879643,-1.837721699309384,-3.7912614649422487
265.18005143280146,121.95596425734158,-0.6558787313009162,-4.750957084654363
267.09469055842806,115.69989334405787,0.41501907313109143,-5.377999254447346
269.4811246885977,109.41039319519841,1.2363259745856823,-5.7577376421551385
271.91018657664864,103.35114981628173,1.7332290665268317,-5.883347285617225
273.9060497471629,97.49595494271125,1.842644484346721,-5.8716187710033
274.779825146607,92.00445929355156,1.4390060606695556,-5.713256511235636
274.06657466329256,87.11475706505001,0.542359184120798,-5.370157368456406
271.7271953211381,82.84492510659076,-0.65819558052263,-4.911753213608341
268.07119386367265,79.03273867441587,-1.907104909465673,-4.45366510934171
263.46146307405735,75.56881014037792,-3.0330399475956114,-4.041333126273619
258.2819806757119,72.41695296923783,-3.9272646275187313,-3.6707705001940205
252.71381490264682,69.63984466010483,-4.61087685348317,-3.298463855549631
246.9173460707343,67.29333181691327,-5.1048037263233965,-2.901873632955491
241.17926260071556,65.58158068413587,-5.3686330108727915,-2.406059309389871
235.86270897598558,64.81249067280237,-5.346936332078577,-1.7240851217814086
231.3855608435754,65.14212689437055,-4.984575778606626,-0.8684887789740294
228.04504862996606,66.7654980811273,-4.299646064013345,0.1696395339888621
225.8069433732098,69.25346395607197,-3.440792071504042,1.135472384282302
224.21316250714875,72.18011889152893,-2.671312785709688,1.8816930169149213
222.6666746039455,74.92236680323882,-2.202701959373524,2.240206903502221
220.67883816113792,77.19725351243886,-2.1131873079508416,2.2546547812634454
217.9697925515294,78.63906263696349,-2.361426527638855,1.9160169356644445
214.4241879610516,79.16073308856768,-2.85476435220723,1.33512130625909
209.97737073118245,78.79081654291578,-3.518026008465732,0.6247892277776526
204.62153817952498,77.79496643918111,-4.283670560115429,-0.05038176829827812
198.55811909534256,76.2753860127583,-5.025127687801959,-0.6624613977082934
