E,N,VN,VE,ClockOffset
99.69456909119832,29.21589134953207,-0.29730774221412304,-0.08066109339883809,299.6153863774153
99.93151603997671,31.523719514941,2.1886174356058,0.22880338334953476,299.6452108340608
99.92597161879054,31.27654706616769,0.8697338628619322,0.12075770607589528,299.59395111847925
100.07997500404119,31.90372639264203,0.7745291544456816,0.1325174606828144,299.61621817168736
101.52171801883999,32.79372665587524,0.8188761790457144,0.48260901608005025,299.484838428583
102.6837540751218,32.969255872028945,0.6692713646439367,0.6291881946069365,299.546983735552
105.19500281319158,32.37025547935667,0.429127696155161,0.9761189939658687,299.5177366849606
108.89391919016035,32.461035074844474,0.3782429567064938,1.4182962457808694,299.305096337085
112.6282138689807,33.82505074074657,0.5191938345605648,1.755854357999714,299.50893415558136
117.72564042186961,34.576540412756465,0.5526438004100716,2.2069345287058337,299.3814348045678
121.98939263040184,35.55757876629077,0.6078217198100822,2.466762883915787,299.31265938818694
128.20214102739453,36.466571176497155,0.6468223054433313,2.9154181902864713,299.10342589425596
134.24030038347667,38.32744199576058,0.7876763371969786,3.273448399910741,298.914231190676
140.76557129622768,40.166927562085405,0.9034521276024574,3.6325079225840775,298.90054922859383
147.54421783472068,41.943015016224486,0.9948531138238694,3.969283476677891,299.05694965432417
155.03336387498192,43.45344494498434,1.0493709736284427,4.337593651537463,298.99757256583473
162.80354234198336,46.04591608900408,1.207199394703841,4.689763473383185,298.9447922031824
170.3026455047314,47.77876660228802,1.2602044739825742,4.9730434498306355,298.9494295432768
178.80126232375744,49.96040155027079,1.350911394337514,5.3235746472115215,299.08703383251833
187.15189142630322,52.17847459785791,1.4358315222174292,5.621327888062325,299.1723189173088
195.10598277070997,54.01301880458587,1.4735890277685386,5.848720223323135,299.4178044988575
203.7797975153369,55.93973497721075,1.5189797631600432,6.121930690268537,299.26565410845114
212.2731883633966,57.97728292341793,1.5684738948144084,6.350372927390313,299.3966864452449
219.68062968034107,60.115194909872514,1.6228675239990102,6.451724183222146,299.3968522613485
227.51509568669056,60.51797698826592,1.5087815064839116,6.582787149842219,299.2936715864571
234.71428939881594,61.85163592433806,1.4911671385033136,6.642199683068465,299.4880709684656
241.14683387562425,62.83539814068087,1.4395383965240305,6.625079796729755,300.04566988681904
248.25439856761443,61.92013671785517,1.220532953071754,6.669269757919529,299.9052417594562
