E,N,U
99.72600280509104,30.67639709011075,-0.040976882790671354
99.67793384581927,30.57914787521327,-0.04497568265889029
99.77420343872453,30.695662334588665,-0.049977722548625536
100.3591406096882,31.135975321758668,-0.05398891664719052
101.42935388950757,31.596116358778048,-0.04900792655269015
103.08150870817492,31.897890809857955,-0.07903567323139526
105.61173207637667,32.26710601127061,-0.0750785595974861
108.9581041769947,32.83898342384668,-0.05713726924218321
112.95080936918656,33.629821752138675,-0.08421023964143615
117.57561030139489,34.610910918086034,-0.08529835084792126
122.77777455757011,35.73872074953968,-0.07940178019272537
128.51197425923135,37.01325201250675,-0.06252110551888634
134.70597237238454,38.432466788755036,-0.045656318898803505
141.33560197946665,39.97265570142575,-0.07080817723526422
148.36624729153854,41.70198639120299,-0.023977761486371207
155.7156129739646,43.49505326537776,-0.043163705091693316
163.3834382528136,45.38038401361904,-0.05636736445733703
171.32857436990238,47.37539059485192,-0.08358898676004145
179.51196492335384,49.458771208133484,-0.08982845399589223
187.76236150899473,51.55957682153232,-0.06408118682550779
196.01223170739388,53.61037972713231,-0.04034483302030978
204.1929971372005,55.59617353054492,-0.03361703308131325
212.27513544544445,57.551595938366575,-0.04689678728736979
220.11509290898337,59.41440288901643,-0.03217818358870872
227.60458632643875,61.001762120968614,-0.04445467177828988
234.77981448462995,61.99432907698398,-0.013723050197377518
241.5814913291895,61.93438376758637,0.010024677169429452
247.93593356123304,61.167941434387274,0.023789245551459004
253.51250459783788,60.30774498420091,0.009579112108731636
257.7527643651302,59.725536569339724,-0.036584669734420316
260.64626165541125,59.46132420083621,-0.07769930508096934
263.2821490008556,59.603693597849144,-0.10780842520005862
266.31118540897654,60.613722479139625,-0.07394308312551345
269.3705987510895,62.997828486931446,-0.027093927328412093
271.9331774966963,66.82285834408721,-0.017240836697098416
273.96315030327713,71.66239929463518,0.011620494310790264
275.85685475525077,77.03244829932012,0.040477031543737496
277.79548254856724,82.59940506581222,0.07132399506660647
279.90013600440557,88.05504335780921,0.09815978252948554
282.3188246228079,93.16078766264431,0.1419814584385506
285.2674608465549,98.1118852587827,0.1777769101105875
288.5970045182534,102.88684398422953,0.26455283070594504
291.68840992774903,107.72199436111151,0.31233327224683904
293.5442031865074,113.1676233721854,0.32215454780311603
293.64933326840804,119.25815958417238,0.2950391635744012
291.97535575226374,125.45104847607402,0.26499730869484495
289.41889109072014,131.48904033586592,0.21599212618130537
286.23977584789816,136.93666180601923,0.22202071831540593
282.2712347392349,141.15169711376478,0.3321052394268946
277.40265351209194,143.37708297295006,0.36326846432018556
272.2204214435383,143.17717509792612,0.3904953014716597
267.7311137716794,140.72132173577322,0.42273903918236044
264.76874741823866,136.344091050408,0.46595698698510546
263.8159383303685,130.9916816902634,0.48610813605219505
264.5340789670603,125.45984839909715,0.4631893750437044
266.34685903842734,119.75912608626388,0.40922346797307796
268.7384473876294,113.87541680184103,0.3592309393328392
271.299849492589,108.02209391064258,0.27422437480520045
273.69104124599625,102.44217221809336,0.21121431463794238
275.47181947361287,97.03690166337888,0.14222211102076443
276.0935658236466,91.67566790425388,0.12827426158808208
274.7410214562187,86.85319689823046,0.09039956270408567
271.38765214338963,82.8769791906085,0.029595140706646816
266.74863843657823,79.54866166303731,-0.021167849188650223
261.6246095521177,76.21440027751501,-0.04491605113770447
256.44009352061556,72.94163885289485,-0.06166838573171418
251.16268326149924,70.04379419624615,-0.06142704266824239
245.64189391809663,67.63255699168329,-0.06618714176970286
240.0506687239621,65.86093890507361,-0.07595680439926866
234.87231508642944,64.95105469064838,-0.10275562900419999
230.6900588383716,65.4430702318807,-0.1396086790054909
227.67606393382127,67.50888900683736,-0.09652224917996932
226.14097672240314,70.54131852261943,-0.07250046620578843
225.42855968549148,73.81347149626797,-0.0805121389251795
224.32388817774495,76.6929118209648,-0.1305071251729757
222.1384618547032,78.5833447725033,-0.10845386319804362
218.90650145461274,79.52033714268791,-0.06935418916282288
214.7364278789456,79.32940193973859,-0.0942107462274393
209.78759466337763,78.30006948352742,-0.11003421155746906
204.08885490731038,76.84356478224245,-0.0968326244418165
197.68774646533518,75.18495180808384,-0.08961238896426948
190.87712411005796,73.51966430707981,-0.09038671684112387
183.91000849841032,71.88735166465023,-0.07616461927430862
176.8620334992176,70.18910058935533,-0.08094758740519836
169.8997461473969,68.47103972978009,-0.05874083904769378
163.3069906589758,66.88043763139044,-0.05855286454593056
157.18278291318256,65.39247422921736,-0.06038459127272944
151.61777639296656,64.04049253880343,-0.0852370775216933
147.01495267846886,62.814312655823855,-0.10211789375998492
143.6564849410519,60.78016880373312,-0.1090223036195539
141.85940802570778,57.60816172946923,-0.1499531559625389
141.7799347586585,54.14722709186035,-0.1319213634837162
142.46605348595907,50.95249256471612,-0.10291050060256524
142.97424560712614,48.41126351030203,-0.0839022152554989
142.97102434426796,46.41646617249445,-0.10888748335731435
142.3650951545433,44.43239919284006,-0.11686005407970868
140.58444541402602,42.51610229104445,-0.09280791025268442
137.3926328395657,40.98617550611661,-0.09372892693379953
133.01119980028864,39.80483772045365,-0.10962929006252153
127.75614016287561,38.5330906057567,-0.11151489367206935
121.80340745037032,37.08665768950742,-0.1333908104159427
115.47603908061102,35.535936368982846,-0.11326528519978751
109.1111799705331,33.8305493351599,-0.1221449586635579
102.90777326189946,32.027552440007945,-0.11403352938612699
96.86842981236362,30.24920065679308,-0.0609312148402843
90.83887435390238,28.820763723480518,-0.041836784955840756
84.90192215011406,27.975453865283228,-0.04275206641194984
79.37289927343211,28.296765313824068,-0.0806829518486687
