E,N,U,t
338003635911.00977,-148966978775.9878,-1544870996876.3884,-5140.106100018248
1077240334697.1836,-458305992939.8169,-2069978118251.7397,-7671.7371595638
819979697623.3068,-315192092931.3989,-1465005913525.22,-5517.276465839192
814832766604.0457,-301161157364.59033,-1374429033907.3647,-5269.272201725763
736644836023.3168,-245984355162.99,-1221786099796.6401,-4707.99255169357
261919040401.7036,-80358019111.14685,-739673881205.9878,-2558.8172415177096
337387421238.4076,-85691505854.85938,-921144595239.0844,-3195.8110473661363
498800650350.39417,-94299211842.1753,-1273532787290.2793,-4459.141986118977
102855523921.24191,-13285595482.82196,-251647854249.61087,-887.8157916542789
99450713454.36345,-4055870116.1278687,-152476861402.0283,-601.2069658301776
363033172614.0852,10498975963.12854,-812660123553.4955,-2903.10356868297
179224389278.227,24519964186.966553,-273580510292.26868,-1087.6719349970888
137034695931.5325,24623043409.966248,-216754608899.77545,-858.7036257877994
46910844629.221405,11759388713.83136,-85651247169.81247,-324.62482037970386
25124406810.178085,7100412445.62809,-42323832696.074394,-164.80894536317356
19789548402.355637,6980130150.027855,-30048840398.978184,-121.98055126940355
21499253768.289864,7156047648.09108,-27998177700.66053,-119.84208251691875
11027147027.259975,5257387416.006519,-15238512345.256962,-65.1160865160395
14005856900.118118,8960006205.584473,-23097412438.590637,-93.90467711863101
8653375115.86411,4976128095.778175,-12401253948.32158,-53.09986976391794
5522164170.110926,3686234962.354767,-9945049416.785606,-39.39952595076866
6160336528.456089,4312104976.310024,-11583711747.172386,-45.417669262785246
6601609414.939868,5226078732.810608,-11261078451.572632,-46.894933806009746
18724085037.969265,15425688380.92118,-36571980421.84941,-146.01256370923386
47242720430.47406,34681271817.74628,-106534904967.05261,-400.9294327595795
64189089975.996765,48702956973.27911,-161881464874.0835,-593.5522125088158
138258584809.0763,88863123901.73651,-262901279293.39835,-1033.3158292671826
639669574014.7441,324556729030.8721,-1450716909453.37,-5348.009356481874
140329727709.7734,67371377068.615234,-344064955203.7628,-1234.4133986095278
789045851531.8552,260575709128.86475,-1161259185330.4458,-4672.258651976681
360587488796.19446,99232290368.08777,-797733077832.9441,-2898.2202849642317
108207486647.32175,21622877331.125427,-248797820325.89157,-888.1681530990714
151605728308.39197,18123620198.85315,-241356097453.43066,-946.6537587272537
789129162039.293,18997087478.107666,-1156804076666.2808,-4558.648918874138
278548251192.2495,1232799002.5935059,-764536981291.1155,-2639.5070597379613
465749607702.07837,-27930492228.881836,-1331705070392.7566,-4600.533351513086
690654603397.9841,-82349206729.86523,-2210347380761.931,-7522.741001577685
681515935158.1157,-116595374946.56738,-2396787976552.183,-8093.467238759584
867952424535.9341,-304273433062.1172,-3708927612090.0063,-12363.945311010084
549820379867.3447,-203255315006.82666,-2682710631453.3037,-8880.651413006475
574871601925.3193,-246341998921.2588,-3124500392953.8105,-10297.838440725467
367968559205.6199,-170257992723.8291,-2289179584225.414,-7512.593003049791
182955145071.2572,-73924054876.86743,-1283270458619.4873,-4192.851604179123
613999953636.3943,-210943291441.0669,-1624000389588.8433,-5662.0301640511325
525391113533.87085,-188632070987.8308,-1400258268702.775,-4883.561426838309
174507530714.0243,-35546355745.045166,-1425726915152.3694,-4644.275535738036
289061619753.3233,-69207021890.80396,-819879958467.7253,-2821.069899016764
32064667138.516144,934087668.7449951,-326705442006.94855,-1065.317997277776
112137440642.13083,-24097754301.3349,-371494309646.87256,-1260.8013245840707
99912772709.54169,-34429606110.85455,-372349673068.86255,-1258.164282236742
2819658477.5417747,444232904.8203125,-48035425994.4882,-156.6918880379414
607483463.8140273,-160458861.8922348,-13251521932.016388,-43.295672783812094
77877281.04831068,-48317879.393713,-1983719564.0667121,-6.499940434120824
118398792717358.06,127047363238987.0,3061266265835929.0,-9558992.774220126
2671059251026.3125,6561070529653.25,514127976311887.6,-1600494.3773830035
-681167808741.4531,-1818118765726.961,30392243616553.156,-97795.2781909918
-3465551277575.073,-5457059174742.723,16825383806707.207,-57751.66440324499
-860183175.1072274,-1131867166.3057451,-3780745028.4912014,-13.203154196162968
-253944365.03014907,-300909439.8509183,-992345508.1043338,-3.49563970048941
-1637246940.6486387,-1978146715.9946804,-11946862544.347921,-39.90204916985741
-1812812956.8762627,-2201330196.6707153,12154268592.598616,-40.75895847326055
-261000851677830.75,-332534885063642.5,-2448219438843993.0,-7707668.318787096
-799042724629.0227,-1162806336080.749,-2714438132187.8433,-9880.86804101088
-28653915562920.727,-46145434925815.53,-93164601902435.22,-341822.8918508367
-211548929143.87137,-353170390224.5796,-759500194390.3866,-2804.2941220686116
-948093409783.9578,-1618249177506.163,-3290471474596.9814,-12255.329124999142
1244918124017086.2,2016400816920835.2,-4267957324780169.0,16283652.492756179
-229662311520255.94,-324597319033515.6,-626929812688707.9,-2377255.2459088615
131.13170252903163,39.05912890457589,40.06045115800044,-2.0296256146687176e-09
124.87900465539155,37.0690451280959,-3.6024103529694607,-6.592030208218451e-09
119.17427502678737,35.92697673867504,-0.6619692696491726,-1.7782183845859051e-09
112.60075701436882,35.141954390516176,33.3314787008332,9.92237593822736e-10
106.08894673324119,31.112814902005347,44.399110297951,-6.869223610104375e-09
100.07699896144383,30.130697028003425,30.21171199921082,3.892286185623201e-09
93.75643067867163,28.292908246047507,34.877792831711346,2.4739053111700294e-09
87.79201556584965,27.672827770640627,7.086959680299589,3.722684685461525e-09
81.30442607356308,27.567259113334032,3.995169226254221,2.583719157225339e-09
75.74931951216954,31.43721566387095,1.0658258855867628,3.002715474773754e-09
71.29326653724179,32.674852611872616,0.3071637979374061,5.181689411201564e-10
67.04273258871923,37.85204181419975,-1.1834756235951598,1.4507125372500916e-09
62.4871572359784,43.31667929725672,1.533482516130696,1.7605757271717418e-09
58.38543618438653,46.30757637950625,1.895527414171411,2.3656833280570336e-09
51.361205965309274,45.73639770926182,-4.165601392231448,-3.6790078662055367e-09
46.6656152488956,44.16710354195143,1.3771560564797707,4.526184826707932e-09
41.7043780100952,40.08387740250921,-0.13494076656050585,2.619938334519879e-09
39.28127463406836,35.13279123646749,-1.3752637418048153,1.418885501576888e-09
39.59711006924626,27.018925368412933,3.968735233598337,3.803231594042487e-09
42.12735535061732,22.114001215571765,-0.42298501283854445,1.6229784278778859e-09
45.521372161887264,20.144177528517638,-2.2856671763647296,-1.6192584502633195e-09
53.35296827444765,18.436095472876477,1.363170253416511,3.767770026449187e-09
58.96399106178338,18.319965098072526,1.9534865242892203,3.768129278940484e-09
64.97435542707,21.07000173196756,1.7480770619700727,2.592995077811313e-09
67.62591659124138,25.537314788703522,2.2724569353413635,-3.8582249278913933e-10
69.04235761147027,32.724989258202974,1.2546523133509653,6.252924887029944e-10
67.19353002918002,36.50454595580005,-1.7685201516124853,-3.2004509627186997e-09
62.8365941670611,39.52549463326845,-2.96319883860994,-5.192930062928915e-09
59.547102401976005,43.51822790865864,-0.07082408498940498,1.3021815183098468e-09
51.839053808986776,45.354289429575935,0.4257835840080913,-2.0482912765277064e-09
45.571203058022746,44.3022667284898,0.9567084801599626,-2.8181496313980647e-09
40.46029558348399,39.05566614271176,-1.1512305614247855,-2.4065021034166986e-09
38.36530253004337,33.24555209259422,-2.527306174926222,-2.5983728723757787e-09
39.27427738103631,26.62150158688964,-0.9954495045901053,-2.2708336606159123e-09
42.60686460576069,22.638105743679546,-0.8598478139337986,-4.051838491401408e-09
48.577449318993196,17.186951782943492,-0.5663776621366425,-1.7825085692887377e-09
56.609831735991996,17.575364570550914,-0.8003532773382863,-1.818572097878108e-09
62.77129649785923,19.386252045197566,0.4914679928117476,-2.925962943299946e-09
70.74418570368256,23.184527481669374,0.03231329395295454,-3.882221134753034e-09
78.29646021382125,27.47884567553684,2.6977814906950033,3.2416883945312493e-09
84.55540527058648,27.59993241846402,0.5727553484549728,-1.880833600432266e-10
-322265393455801.4,-292077529730858.6,404108558903354.75,-1899523.4854444324
96.21365413067916,32.54589184783438,42.24562386761512,-2.956691718998746e-09
97.99884444283596,31.47485624520847,42.41344204875391,-4.246423334178317e-09
