Local_time,Latitude,Longitude,Height,E,N
10/05/2023 12:59:14,45.343783514404,9.01145500431788,149.46769078169,500897.414307724,5021141.60905971
10/05/2023 12:59:15,45.343783497737,9.01145499765088,149.467690780759,500897.413785678,5021141.60720803
10/05/2023 12:59:16,45.34378351607,9.01145499598488,149.466690783389,500897.413654869,5021141.6092447
10/05/2023 12:59:17,45.343783547737,9.01145497765089,149.461690782569,500897.412218039,5021141.61276251
10/05/2023 12:59:18,45.343783534404,9.01145498431789,149.460690783337,500897.412740558,5021141.61128137
10/05/2023 12:59:19,45.343783532737,9.01145498098489,149.459690780379,500897.41247947,5021141.61109614
10/05/2023 12:59:20,45.343783542737,9.01145498265089,149.461690782569,500897.41260983,5021141.61220709
10/05/2023 12:59:21,45.343783539404,9.01145500265089,149.462690781802,500897.414176734,5021141.61183705
10/05/2023 12:59:22,45.343783509404,9.0114550259849,149.456690782681,500897.416005254,5021141.60850448
10/05/2023 12:59:23,45.343783502737,9.0114550059849,149.453690781258,500897.414438507,5021141.6077636
10/05/2023 12:59:24,45.343783534404,9.01145498265089,149.460690783337,500897.412609962,5021141.61128135
10/05/2023 12:59:25,45.343783514404,9.01145497598488,149.463690781035,500897.412088046,5021141.6090594
10/05/2023 12:59:26,45.34378352107,9.01145494931788,149.461690783501,500897.409998779,5021141.60979965
10/05/2023 12:59:27,45.343783504404,9.01145498098488,149.461690782569,500897.412479917,5021141.60794851
10/05/2023 12:59:28,45.343783509404,9.01145498431789,149.457690782845,500897.412740954,5021141.60850402
10/05/2023 12:59:29,45.343783504404,9.01145497431789,149.454690782353,500897.411957607,5021141.60794844
10/05/2023 12:59:30,45.343783524404,9.01145498265089,149.460690781474,500897.412610119,5021141.61017041
10/05/2023 12:59:31,45.34378352107,9.01145498765089,149.462690782733,500897.413001885,5021141.60980008
10/05/2023 12:59:32,45.343783507737,9.01145498931789,149.459690780379,500897.413132693,5021141.60831888
10/05/2023 12:59:33,45.343783479404,9.01145502265089,149.459690779448,500897.415744533,5021141.60517162
10/05/2023 12:59:34,45.343783522737,9.01145499265088,149.467690782622,500897.413393571,5021141.60998533
10/05/2023 12:59:35,45.343783534404,9.01145498431788,149.472690784372,500897.412740557,5021141.61128137
10/05/2023 12:59:36,45.34378352107,9.01145501431789,149.465690782294,500897.415091044,5021141.60980038
10/05/2023 12:59:37,45.343783549404,9.0114550193179,149.458690783009,500897.415482311,5021141.61294817
10/05/2023 12:59:38,45.34378354607,9.01145500098489,149.460690780543,500897.41404611,5021141.61257758
10/05/2023 12:59:39,45.343783542737,9.01145498765089,149.463690783828,500897.413001543,5021141.61220715
10/05/2023 12:59:40,45.34378350607,9.01145497265089,149.458690781146,500897.411826983,5021141.6081335
10/05/2023 12:59:41,45.343783517737,9.01145499431789,149.459690783173,500897.413524247,5021141.60942988
10/05/2023 12:59:43,45.343783537737,9.01145499931789,149.461690781638,500897.413915644,5021141.61165181
10/05/2023 12:59:44,45.343783532737,9.01145497598489,149.462690780871,500897.412087757,5021141.61109608
10/05/2023 12:59:45,45.343783539404,9.01145496098489,149.461690781638,500897.410912512,5021141.61183658
10/05/2023 12:59:46,45.343783552737,9.01145497265089,149.46469078213,500897.411826246,5021141.61331793
10/05/2023 12:59:47,45.343783532737,9.01145496765089,149.461690780707,500897.411434849,5021141.61109599
10/05/2023 12:59:48,45.34378353607,9.01145495598489,149.462690780871,500897.410520852,5021141.61146614
10/05/2023 12:59:49,45.343783552737,9.01145496098489,149.460690781474,500897.410912301,5021141.6133178
10/05/2023 12:59:50,45.343783529404,9.01145498265089,149.458690782078,500897.412610041,5021141.61072588
10/05/2023 12:59:51,45.343783537737,9.01145497098489,149.463690781966,500897.411695964,5021141.6116515
10/05/2023 12:59:52,45.343783529404,9.01145496098489,149.462690781802,500897.41091267,5021141.61072564
10/05/2023 12:59:53,45.343783544404,9.01145497765089,149.462690780871,500897.412218091,5021141.61239224
10/05/2023 12:59:54,45.343783534404,9.01145496598489,149.461690783501,500897.411304305,5021141.61128117
10/05/2023 12:59:55,45.343783549404,9.01145495931789,149.462690782733,500897.410781757,5021141.6129475
10/05/2023 12:59:56,45.343783542737,9.01145496931788,149.467690782622,500897.411565288,5021141.61220695
10/05/2023 12:59:57,45.34378353607,9.01145497431789,149.463690781035,500897.411957106,5021141.61146634
10/05/2023 12:59:58,45.343783554404,9.01145498265089,149.465690782294,500897.412609646,5021141.61350323
10/05/2023 12:59:59,45.34378352607,9.01145498431788,149.465690781362,500897.41274069,5021141.61035551
10/05/2023 13:00:00,45.343783534404,9.01145499265088,149.468690783717,500897.413393387,5021141.61128146
10/05/2023 13:00:01,45.34378353607,9.01145499931789,149.464690781198,500897.413915669,5021141.61146662
10/05/2023 13:00:02,45.343783547737,9.01145497098489,149.466690782458,500897.411695807,5021141.61276244
10/05/2023 13:00:03,45.343783524404,9.01145497598488,149.466690782458,500897.412087887,5021141.61017034
10/05/2023 13:00:04,45.343783534404,9.01145496431788,149.469690783881,500897.411173707,5021141.61128115
10/05/2023 13:00:05,45.343783504404,9.01145497931787,149.471690781415,500897.412349319,5021141.60794849
10/05/2023 13:00:06,45.343783499404,9.01145498431788,149.466690780595,500897.41274111,5021141.60739308
10/05/2023 13:00:07,45.343783527737,9.01145501098489,149.466690783389,500897.414829824,5021141.610541
10/05/2023 13:00:08,45.343783497737,9.01145497931788,149.464690780267,500897.412349424,5021141.60720783
10/05/2023 13:00:09,45.343783534404,9.01145497765088,149.465690783225,500897.412218249,5021141.6112813
