Local_time,Latitude,Longitude,Height,E,N
10/05/2023 11:24:00,45.3437760060704,9.01147240932101,147.526690844446,500898.777978949,5021140.77512266
10/05/2023 11:24:01,45.3437751310704,9.01147179598783,147.52269082889,500898.7299427,5021140.67790854
10/05/2023 11:24:02,45.3437761794044,9.01147302432111,147.517690852284,500898.826156891,5021140.79438589
10/05/2023 11:24:03,45.3437801410698,9.01148048765542,147.513690955937,500899.410790917,5021141.23458662
10/05/2023 11:24:04,45.3437842810687,9.01149414265735,147.518691111356,500900.480493089,5021141.6946684
10/05/2023 11:24:05,45.3437869960672,9.01151522265982,147.488691312261,500902.131911202,5021141.99652443
10/05/2023 11:24:06,45.3437903177318,9.01154750599741,147.492691610008,500904.661017299,5021142.36590366
10/05/2023 11:24:07,45.3437954627286,9.01159020266825,147.51069201529,500908.005900942,5021142.93796257
10/05/2023 11:24:08,45.3438025777248,9.01164114600824,147.483692510054,500911.996817287,5021143.7289718
10/05/2023 11:24:09,45.3438114043874,9.01170015434823,147.482693089172,500916.619537425,5021144.71023124
10/05/2023 11:24:10,45.3438215510484,9.01176652935611,147.488693740219,500921.819357918,5021145.8382223
10/05/2023 11:24:11,45.3438330177099,9.01183969269782,147.505694461986,500927.550969963,5021147.11293999
10/05/2023 11:24:12,45.3438457860369,9.01191872270729,147.522695246153,500933.742167547,5021148.53233818
10/05/2023 11:24:13,45.3438596426976,9.01200331105152,147.497696085833,500940.368797899,5021150.07271469
10/05/2023 11:24:14,45.3438752010239,9.01209301606239,147.544696986675,500947.396248739,5021151.80220325
10/05/2023 11:24:15,45.3438913326839,9.01218678773983,147.525697929785,500954.742278541,5021153.5954418
10/05/2023 11:24:16,45.3439082943435,9.01228462275178,147.512698909268,500962.406621419,5021155.48094547
10/05/2023 11:24:17,45.343926242669,9.01238599609823,147.485699930228,500970.348144339,5021157.47611376
10/05/2023 11:24:18,45.3439449859941,9.01249040944407,147.479700988159,500978.527809189,5021159.55964871
10/05/2023 11:24:19,45.3439638859862,9.01259567778996,147.505702052265,500986.774448596,5021161.66060952
10/05/2023 11:24:20,45.3439823359783,9.0127009394698,147.52970311325,500995.020568163,5021163.7115887
10/05/2023 11:24:21,45.3440002009705,9.01280531948247,147.536704157479,501003.197620912,5021165.69757768
10/05/2023 11:24:22,45.3440177926298,9.01290844116203,147.523705189116,501011.276092757,5021167.65319581
10/05/2023 11:24:23,45.3440345509553,9.01300847284011,147.538706189021,501019.112497012,5021169.51620677
10/05/2023 11:24:24,45.3440488309481,9.01310403285144,147.526707123034,501026.59862129,5021171.10384246
10/05/2023 11:24:25,45.3440577592752,9.01319558286151,147.557707969099,501033.770687005,5021172.09689736
10/05/2023 11:24:26,45.3440572176018,9.01328236620372,147.581708674319,501040.569492876,5021172.03783814
10/05/2023 11:24:27,45.3440503192627,9.01336344287645,147.595709264278,501046.92134312,5021171.27252437
10/05/2023 11:24:28,45.3440425775904,9.01343459454913,147.581709764898,501052.49566423,5021170.41339795
10/05/2023 11:24:29,45.3440373375864,9.01348869622059,147.535710150376,501056.734205566,5021169.83197308
10/05/2023 11:24:30,45.3440349592507,9.01352561455683,147.494710429572,501059.626513802,5021169.56823916
10/05/2023 11:24:31,45.3440362392482,9.01355924622729,147.464710716158,501062.2612692,5021169.71088225
10/05/2023 11:24:32,45.3440453259113,9.01359789456532,147.49871112965,501065.288894859,5021170.72086684
10/05/2023 11:24:33,45.3440667759083,9.01363693123921,147.545711680315,501068.346710092,5021173.10435082
10/05/2023 11:24:34,45.3441011909058,9.0136696295805,147.555712315254,501070.907720063,5021176.92808637
10/05/2023 11:24:35,45.3441447342378,9.01369553292247,147.584712992422,501072.93622019,5021181.76583607
10/05/2023 11:24:36,45.3441930509018,9.013719697932,147.613713708706,501074.828442445,5021187.13385204
10/05/2023 11:24:37,45.3442431392338,9.01374443627584,147.644714445807,501076.765544006,5021192.69869806
10/05/2023 11:24:38,45.3442922258977,9.01377129295174,147.671715191565,501078.868615229,5021198.15229373
10/05/2023 11:24:39,45.3443381642293,9.01380215629554,147.715715933591,501081.285632268,5021203.25618293
10/05/2023 11:24:40,45.3443827108924,9.01383978130578,147.751716717146,501084.232392586,5021208.20555801
10/05/2023 11:24:41,45.344425672556,9.01388226631619,147.838717523962,501087.559919143,5021212.9789161
10/05/2023 11:24:42,45.344469175886,9.01392171299243,147.886718310416,501090.649402273,5021217.81241074
10/05/2023 11:24:43,45.3445181725511,9.01394539466903,147.896719028242,501092.503720509,5021223.25596985
10/05/2023 11:24:44,45.3445729725509,9.01394673967742,147.869719625451,501092.608036391,5021229.34394231
10/05/2023 11:24:45,45.3446286942194,9.01392538468377,147.839720045216,501090.933984636,5021235.53399903
10/05/2023 11:24:46,45.3446830225548,9.01389276968886,147.790720359422,501088.377839584,5021241.56911301
10/05/2023 11:24:47,45.3447320392247,9.01385220969231,147.796720549464,501085.199379626,5021247.01402653
10/05/2023 11:24:48,45.3447699658943,9.01380157636,147.90672054328,501081.23197926,5021251.22677327
10/05/2023 11:24:49,45.3447899908989,9.013739458023,147.937720245682,501076.365175051,5021253.45060033
10/05/2023 11:24:50,45.3447881942378,9.01367333635036,147.964719684795,501071.185159939,5021253.25012047
10/05/2023 11:24:51,45.3447660992421,9.0136160546745,147.996718980372,501066.698061416,5021250.79473749
10/05/2023 11:24:52,45.3447267159109,9.01357825466491,148.039718252607,501063.737500884,5021246.41898346
10/05/2023 11:24:53,45.3446785575789,9.0135660946565,148.059717636555,501062.785771682,5021241.06871839
