BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8
406.08693036258387,570.9066152331229,606.8108319660457,478.8297594471752,348.9771678154642,497.9339970162962,428.78599949349933,385.137655950413
406.06779411716894,571.1615375778874,606.9385759840163,478.8344512002299,349.13785481063053,498.0036879280899,428.7082103940776,385.1786801559314
405.98847948533523,570.9069534598767,606.6044295920506,478.5482656114416,349.1937206332081,497.8843750549909,428.58947686806044,384.87945276839616
406.562739808312,570.2077695433591,605.7075157440636,478.5432183500314,349.3512802815428,497.00951385108755,427.65919787891085,384.6089038776056
407.60325372753243,568.9340667744289,604.5974538296305,478.4598789123532,350.2426316737549,495.53684206228104,426.37625163133555,383.3955206146471
409.47268637809026,567.6087984607327,603.0654971141903,479.4009367662752,351.74679864058305,494.2196053708068,425.2789964398047,382.1635367170153
411.767897207612,564.8049288415459,600.5710766306493,480.4076316009213,354.01069266563985,491.8073079707999,423.3112403053648,379.7320280205839
414.81210823987163,561.5585248822163,597.2257173247186,481.91035975293175,356.9908163192692,488.37501997417667,420.3161156232241,376.416293615059
418.82422290244017,557.7301320424551,593.1778858693754,483.55858095843803,360.6916547017163,484.32019937471864,417.15093365511837,373.11239038980284
423.5380534597524,553.4623452936596,588.5776843730489,485.80609556818,365.21422035843153,480.01146697583334,413.6278363917397,369.0391009541406
428.61131868030236,548.2146908412843,583.7774199343867,487.9962355699465,369.9734565971156,474.789070554672,409.53698601875374,364.9081424985601
434.22244185990417,542.6152648807217,577.9065467614478,490.83226776226434,375.39366152701314,469.0898418929612,404.92725062712793,360.145989167955
440.43093210821235,536.5656865412946,571.709023602026,493.74909559280513,381.2296509679245,462.9200737694175,400.24600157347555,355.589438087473
446.97145852492457,530.1779808100506,565.2927086680074,497.20977904549125,387.7875278778814,456.3958325076445,395.3011369000411,351.190331947343
454.31003855734866,523.9498976053512,558.3533857610184,501.26743887432457,394.87762877881164,449.6166356861663,391.0341059818529,347.4856277448454
461.73606906437374,516.6282139985385,551.2043767632838,505.2278074492029,402.12686326328475,442.7353334663654,386.13134472351544,343.9937994007417
469.6536973581361,509.74367847602014,543.6077094295475,510.1774216178726,409.79971425873987,435.38766844171255,382.0074073942992,342.1901319632729
477.8536075185537,502.6555016416287,536.2820253606324,515.1931483393556,418.0804468147362,428.0791555698796,378.20436482355217,341.46308445273166
486.50024540191623,495.5239442656904,528.300514388193,520.6600669574842,426.52704479747115,420.4275835798577,375.224924308549,342.5205171764177
494.7188420142994,487.95277386638725,520.3480459004885,526.1287852367354,434.86388435421037,412.63310982292614,372.4149740703333,344.8733539160042
503.29257241551716,480.8781424602902,512.7017244234696,532.0310996640421,443.2875091256705,405.27777060957374,371.22456412587235,348.93367564064675
511.59092074645184,473.4508918491161,504.6089871491589,537.7839040966693,451.33766925709006,397.8804660274423,370.51404654321004,353.46107264551785
520.044342832289,466.9022906254776,497.2370507703698,544.2678283250599,459.7750360955014,390.96389089856365,371.01130092318107,359.0971619299221
